tmdb_id,keyword
823464,giant monster
823464,sequel
823464,dinosaur
823464,kaiju
823464,fantasy world
823464,giant ape
823464,godzilla
823464,monsterverse
823464,king kong
1011985,martial arts
1011985,kung fu
1011985,china
1011985,sequel
1011985,panda
1011985,anthropomorphism
693134,epic
693134,based on novel or book
693134,fight
693134,sandstorm
693134,sand
693134,spice
693134,chosen one
693134,sequel
693134,distant future
693134,creature
693134,planet
693134,desert
693134,destiny
693134,giant worm
693134,space opera
693134,sand dune
693134,messiah
693134,vengeance
693134,giant creature
693134,power
693134,violence
693134,admiring
359410,florida keys
359410,remake
359410,bouncer
359410,fighting
359410,ufc
359410,mma
359410,audacious
359410,baffled
359410,bold
984324,based on novel or book
984324,nitroglycerin
984324,remake
1181548,based on novel or book
634492,new york city
634492,superhero
634492,spider
634492,based on comic
634492,super power
634492,paramedic
634492,superhero team
634492,"manhattan, new york city"
634492,clairvoyant
634492,epic battle
634492,angry
634492,teen superhero
634492,web
634492,origin story
634492,2000s
634492,vision of the future
634492,female superhero
634492,incredulous
634492,superpower
634492,epic heroes
1125311,stepmother
1125311,imaginary friend
1125311,stepmother stepdaughter relationship
940551,duck
940551,migration
940551,flight
940551,anthropomorphism
940551,family
940551,animal
940551,chef
940551,overprotective father
940551,illumination
940551,bird
856289,monster
856289,based on novel or book
856289,mythological beast
856289,high fantasy
856289,physical immortality
856289,chinese mythology
763215,princess
763215,fire
763215,chase
763215,kingdom
763215,sword
763215,mountain
763215,revenge
763215,knight
763215,dragon
763215,hero's journey
763215,pathetic
763215,fairytale
438631,empire
438631,future
438631,epic
438631,army
438631,based on novel or book
438631,prophecy
438631,dystopia
438631,emperor
438631,sand
438631,spice
438631,hallucinogen
438631,treason
438631,baron
438631,revenge
438631,premonition
438631,betrayal
438631,space
438631,water shortage
438631,creature
438631,desert
438631,knife fight
438631,destiny
438631,giant worm
438631,space opera
438631,sand dune
438631,messiah
438631,mother son relationship
438631,giant creature
601796,prisoner
601796,time warp
601796,alien
601796,historical fiction
601796,goryeo dynasty
601796,past and present
601796,time slip
601796,taoist wizard
1096197,ocean
1096197,bodyguard
1096197,rescue mission
1096197,childhood trauma
1096197,shark
1096197,airplane trip
1096197,sharks
1096197,air crash
1096197,survivor
1096197,depressing
437342,prequel
437342,disturbed
399566,giant monster
399566,dinosaur
399566,creature feature
399566,kaiju
399566,sign languages
399566,giant ape
399566,godzilla
399566,monsterverse
399566,robot dinosaur
399566,king kong
624091,bumi langit
624091,jagat sinema bumilangit
624091,sri asih
848538,cat
848538,spy
848538,secret agent
848538,writer's block
848538,author
848538,novelist
848538,aftercreditsstinger
848538,secrets
848538,spy universe
278,prison
278,friendship
278,police brutality
278,corruption
278,based on novel or book
278,hope
278,prison cell
278,delinquent
278,redemption
278,parole board
278,prison escape
278,wrongful imprisonment
278,interracial friendship
278,framed for murder
278,1940s
278,voiceover
238,based on novel or book
238,loss of loved one
238,love at first sight
238,italy
238,symbolism
238,patriarch
238,europe
238,organized crime
238,mafia
238,religion
238,lawyer
238,revenge motive
238,crime family
238,sicilian mafia
238,religious hypocrisy
238,gun violence
238,rise to power
238,dead horse
238,gang violence
238,1940s
238,1950s
238,mafia war
238,intense
240,italian american
240,cuba
240,italy
240,gangster
240,praise
240,symbolism
240,melancholy
240,revenge
240,organized crime
240,mafia
240,lawyer
240,suburb
240,corrupt politician
424,factory
424,hero
424,based on novel or book
424,nazi
424,concentration camp
424,ss (nazi schutzstaffel)
424,holocaust (shoah)
424,world war ii
424,ghetto
424,jew persecution
424,"kraków, poland"
424,defense industry
424,auschwitz-birkenau concentration camp
424,biography
424,based on true story
424,industrialist
424,historical fiction
424,black and white
424,train
424,poland
424,weapons manufacturer
389,death penalty
389,anonymity
389,court case
389,court
389,judge
389,jurors
389,father murder
389,class
389,sultriness
389,heat
389,innocence
389,puerto rico
389,based on play or musical
389,courtroom
389,courtroom drama
389,one location
129,witch
129,parent child relationship
129,darkness
129,bath house
129,magic
129,spirit
129,parallel world
129,amusement park
129,youkai
129,japanese mythology
129,anime
19404,family's daily life
19404,family history
19404,love-hate relationship
19404,family drama
19404,love affair
155,joker
155,sadism
155,chaos
155,secret identity
155,crime fighter
155,superhero
155,anti hero
155,scarecrow
155,based on comic
155,vigilante
155,organized crime
155,tragic hero
155,anti villain
155,criminal mastermind
155,district attorney
155,super power
155,super villain
155,neo-noir
496243,dark comedy
496243,private lessons
496243,birthday party
496243,con artist
496243,working class
496243,psychological thriller
496243,class differences
496243,housekeeper
496243,tutor
496243,family
496243,crime family
496243,unemployed
496243,desperate
496243,wealthy family
496243,south korea
496243,"seoul, south korea"
496243,egotistical
496243,hilarious
496243,baffled
496243,callous
496243,dubious
496243,farcical
496243,mean spirited
496243,straightforward
496243,urgent
497,mentally disabled
497,based on novel or book
497,southern usa
497,psychopath
497,death row
497,jail guard
497,supernatural
497,great depression
